[Wed, 02 Sep 15 15:55:13 -0500][DEBUG] Validando el usuario con rol [admin] en [index::index]
[Thu, 03 Sep 15 15:36:57 -0500][DEBUG] Validando el usuario con rol [admin] en [index::index]
[Thu, 03 Sep 15 15:36:59 -0500][DEBUG] Validando el usuario con rol [admin] en [data::get]
[Thu, 03 Sep 15 15:37:08 -0500][DEBUG] Validando el usuario con rol [admin] en [importdata::index]
[Thu, 03 Sep 15 15:37:18 -0500][DEBUG] Validando el usuario con rol [admin] en [importdata::index]
[Thu, 03 Sep 15 15:37:19 -0500][DEBUG] Validando el usuario con rol [admin] en [index::index]
[Thu, 03 Sep 15 15:46:49 -0500][DEBUG] Validando el usuario con rol [admin] en [index::index]
[Thu, 03 Sep 15 15:49:05 -0500][DEBUG] Validando el usuario con rol [admin] en [index::index]
[Thu, 03 Sep 15 15:51:12 -0500][DEBUG] Validando el usuario con rol [admin] en [index::index]
[Thu, 03 Sep 15 15:52:37 -0500][DEBUG] Validando el usuario con rol [admin] en [index::index]
[Thu, 03 Sep 15 15:55:16 -0500][DEBUG] Validando el usuario con rol [admin] en [index::index]
[Thu, 03 Sep 15 15:58:40 -0500][DEBUG] Validando el usuario con rol [admin] en [index::index]
[Thu, 03 Sep 15 15:58:50 -0500][DEBUG] Validando el usuario con rol [admin] en [index::index]
[Thu, 03 Sep 15 15:59:16 -0500][DEBUG] Validando el usuario con rol [admin] en [index::index]
[Thu, 03 Sep 15 15:59:40 -0500][DEBUG] Validando el usuario con rol [admin] en [index::index]
[Thu, 03 Sep 15 16:01:48 -0500][DEBUG] Validando el usuario con rol [admin] en [index::index]
[Thu, 03 Sep 15 16:01:58 -0500][DEBUG] Validando el usuario con rol [admin] en [index::index]
[Thu, 03 Sep 15 16:02:38 -0500][DEBUG] Validando el usuario con rol [admin] en [index::index]
[Thu, 03 Sep 15 16:03:05 -0500][DEBUG] Validando el usuario con rol [admin] en [index::index]
[Thu, 03 Sep 15 16:03:16 -0500][DEBUG] Validando el usuario con rol [admin] en [index::index]
[Thu, 03 Sep 15 16:03:24 -0500][DEBUG] Validando el usuario con rol [admin] en [index::index]
[Thu, 03 Sep 15 16:03:48 -0500][DEBUG] Validando el usuario con rol [admin] en [index::index]
[Thu, 03 Sep 15 16:03:59 -0500][DEBUG] Validando el usuario con rol [admin] en [index::index]
[Thu, 03 Sep 15 16:04:11 -0500][DEBUG] Validando el usuario con rol [admin] en [index::index]
[Thu, 03 Sep 15 16:14:50 -0500][DEBUG] Validando el usuario con rol [admin] en [article::index]
[Thu, 03 Sep 15 16:14:50 -0500][DEBUG] El recurso no se encuentra registrado
[Thu, 03 Sep 15 16:14:50 -0500][DEBUG] Validando el usuario con rol [admin] en [error::index]
[Thu, 03 Sep 15 16:14:50 -0500][DEBUG] Validando el usuario con rol [admin] en [images::favicons]
[Thu, 03 Sep 15 16:14:50 -0500][DEBUG] El recurso no se encuentra registrado
[Thu, 03 Sep 15 16:14:50 -0500][DEBUG] Validando el usuario con rol [admin] en [error::index]
[Thu, 03 Sep 15 16:14:52 -0500][DEBUG] Validando el usuario con rol [admin] en [index::index]
[Thu, 03 Sep 15 16:16:34 -0500][DEBUG] Validando el usuario con rol [admin] en [index::index]
[Thu, 03 Sep 15 16:16:45 -0500][DEBUG] Validando el usuario con rol [admin] en [index::index]
[Thu, 03 Sep 15 16:16:55 -0500][DEBUG] Validando el usuario con rol [admin] en [article::index]
[Thu, 03 Sep 15 16:16:55 -0500][DEBUG] El recurso no se encuentra registrado
[Thu, 03 Sep 15 16:16:56 -0500][DEBUG] Validando el usuario con rol [admin] en [error::index]
[Thu, 03 Sep 15 16:16:56 -0500][DEBUG] Validando el usuario con rol [admin] en [images::favicons]
[Thu, 03 Sep 15 16:16:56 -0500][DEBUG] El recurso no se encuentra registrado
[Thu, 03 Sep 15 16:16:56 -0500][DEBUG] Validando el usuario con rol [admin] en [error::index]
[Thu, 03 Sep 15 16:16:59 -0500][DEBUG] Validando el usuario con rol [admin] en [index::index]
[Thu, 03 Sep 15 16:18:48 -0500][DEBUG] Validando el usuario con rol [admin] en [index::index]
[Thu, 03 Sep 15 16:18:57 -0500][DEBUG] Validando el usuario con rol [admin] en [index::index]
[Thu, 03 Sep 15 16:19:05 -0500][DEBUG] Validando el usuario con rol [admin] en [article::index]
[Thu, 03 Sep 15 16:21:57 -0500][DEBUG] Validando el usuario con rol [admin] en [index::index]
[Thu, 03 Sep 15 16:22:06 -0500][DEBUG] Validando el usuario con rol [admin] en [article::index]
[Thu, 03 Sep 15 16:22:09 -0500][DEBUG] Validando el usuario con rol [admin] en [index::index]
[Thu, 03 Sep 15 16:22:10 -0500][DEBUG] Validando el usuario con rol [admin] en [article::index]
[Thu, 03 Sep 15 16:22:12 -0500][DEBUG] Validando el usuario con rol [admin] en [index::index]
[Thu, 03 Sep 15 16:22:54 -0500][DEBUG] Validando el usuario con rol [admin] en [index::index]
[Thu, 03 Sep 15 16:30:33 -0500][DEBUG] Validando el usuario con rol [admin] en [index::index]
[Thu, 03 Sep 15 16:30:45 -0500][DEBUG] Validando el usuario con rol [admin] en [index::index]
[Thu, 03 Sep 15 16:32:16 -0500][DEBUG] Validando el usuario con rol [admin] en [index::index]
[Thu, 03 Sep 15 16:32:29 -0500][DEBUG] Validando el usuario con rol [admin] en [index::index]
